"handle" "division" "max_division" "rating" "max_rating" "total_problems"
"179" "brenocolima" "Newbie" "Newbie" 828 828 62
"180" "anakomatsu" "Newbie" "Newbie" 825 825 100
"181" "laranja" "Newbie" "Newbie" 825 876 76
"182" "Mario.Augusto.Santos" "Newbie" "Newbie" 821 821 88
"183" "dekomonte" "Newbie" "Pupil" 818 1375 112
"184" "kleberjr" "Newbie" "Newbie" 804 804 58
"185" "elisrb" "Newbie" "Newbie" 799 799 101
"186" "seraphritt" "Newbie" "Newbie" 791 965 223
"187" "matglalves" "Newbie" "Newbie" 790 844 72
"188" "Joaofs" "Newbie" "Pupil" 768 1386 199
"189" "adriellymd" "Newbie" "Newbie" 760 760 61
"190" "Schatten900" "Newbie" "Newbie" 758 758 83
"191" "Venoninho" "Newbie" "Newbie" 755 755 66
"192" "gss214" "Newbie" "Pupil" 753 1366 209
"193" "Thiagovisk" "Newbie" "Newbie" 715 715 17
"194" "Cadu" "Newbie" "Pupil" 672 1366 222
"195" "ribas858" "Newbie" "Pupil" 651 1380 6
"196" "xMyth" "Newbie" "Newbie" 647 647 316
"197" "rcamposnunes" "Newbie" "Newbie" 640 824 109
"198" "pedrofernandess" "Newbie" "Newbie" 627 627 62
"199" "maldisco" "Newbie" "Newbie" 600 600 71
"200" "lucaspework" "Newbie" "Newbie" 588 588 53
